animal,latin_name,order,sex,LociVS,diff_LociVS,mod_diff_LociVS,midpoint_lat,mass,dichro,sexual_dichro,gen_time,survival,age_first_breed,max_lifespan,mating_system_og,mating_system_binary,paternal_care,migration
Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Passeriformes,F,54.40572316,-13.77408322,13.77408322,52.26433473,2518.821444,0,15.28672504,2.656256752,0.595996753,1.147377064,11.76257462,2,0,1,2
Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Passeriformes,M,40.63163994,-13.77408322,13.77408322,52.26433473,2518.821444,0,15.28672504,2.656256752,0.595996753,1.147377064,11.76257462,2,0,1,2
Acrocephalus_australis,Acrocephalus_australis,Passeriformes,F,75,-9.03583212,9.03583212,-22.44101096,747.4198712,0,26.83923145,2.948303819,0.647053538,1.207347702,10.61101386,2,0,1,0
Acrocephalus_australis,Acrocephalus_australis,Passeriformes,M,65.96416788,-9.03583212,9.03583212,-22.44101096,747.4198712,0,26.83923145,2.948303819,0.647053538,1.207347702,10.61101386,2,0,1,0
Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,Passeriformes,F,58.39520528,-6.51357115,6.51357115,49.51154999,144.5003141,0,35.59062531,2.135780834,0.559175827,0.91566483,8.81663019,2,0,1,2
Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,Passeriformes,M,51.88163413,-6.51357115,6.51357115,49.51154999,144.5003141,0,35.59062531,2.135780834,0.559175827,0.91566483,8.81663019,2,0,1,2
Acrocephalus_brevipennis,Acrocephalus_brevipennis,Passeriformes,F,39.22941704,-0.64205149,0.64205149,19.39153962,592.3640885,0,15.81137249,3.02006268,0.668717574,1.183570937,10.16491261,0,0,1,0
Acrocephalus_brevipennis,Acrocephalus_brevipennis,Passeriformes,M,38.58736555,-0.64205149,0.64205149,19.39153962,592.3640885,0,15.81137249,3.02006268,0.668717574,1.183570937,10.16491261,0,0,1,0
Acrocephalus_caffer,Acrocephalus_caffer,Passeriformes,M,48,-21,21,-22.10846038,2758.916497,0,36.40135461,2.740170375,0.653259259,0.999735487,10.24209091,NA,NA,1,0
Acrocephalus_caffer,Acrocephalus_caffer,Passeriformes,F,69,-21,21,-22.10846038,2758.916497,0,36.40135461,2.740170375,0.653259259,0.999735487,10.24209091,NA,NA,1,0
Acrocephalus_concinens,Acrocephalus_concinens,Passeriformes,M,49.71733839,-5.78040931,5.78040931,40.19566852,130.6939593,0,21.89109338,2.183509191,0.571655683,0.907998763,8.520135542,NA,NA,1,1
